trip_id,deviceid,date,start_terminal,end_terminal,direction,start_time,end_time,duration,duration_in_mins
55,262,10-02-2021,BT02,BT01,2,12:54:23,13:48:39,00:54:16,54.27
56,264,10-02-2021,BT02,BT01,2,13:07:54,13:59:48,00:51:54,51.9
57,1143,10-02-2021,BT01,BT02,1,13:42:03,14:36:34,00:54:31,54.52
58,279,10-02-2021,BT02,BT01,2,13:42:13,14:36:36,00:54:23,54.38
59,1143,10-02-2021,BT02,BT01,2,14:59:32,15:54:38,00:55:06,55.1
60,1358,10-02-2021,BT01,BT02,1,15:00:35,15:49:04,00:48:29,48.48
61,123,10-02-2021,BT01,BT02,1,16:05:57,17:06:01,01:00:04,60.07
62,262,10-02-2021,BT01,BT02,1,16:51:53,17:42:24,00:50:31,50.52
63,264,10-02-2021,BT01,BT02,1,17:11:00,18:02:08,00:51:08,51.13
64,123,10-02-2021,BT02,BT01,2,17:31:16,18:27:02,00:55:46,55.77
65,279,10-02-2021,BT01,BT02,1,17:51:30,18:31:00,00:39:30,39.5
66,262,10-02-2021,BT02,BT01,2,18:09:14,18:59:40,00:50:26,50.43
67,123,10-02-2021,BT01,BT02,1,18:28:32,19:06:13,00:37:41,37.68
68,1143,10-02-2021,BT01,BT02,1,20:24:23,20:57:55,00:33:32,33.53
69,279,10-03-2021,BT02,BT01,2,06:00:14,06:46:21,00:46:07,46.12
70,1143,10-03-2021,BT02,BT01,2,06:17:38,06:59:00,00:41:22,41.37
71,1358,10-03-2021,BT02,BT01,2,06:57:46,07:40:06,00:42:20,42.33
72,279,10-03-2021,BT01,BT02,1,07:11:16,08:04:51,00:53:35,53.58
73,1143,10-03-2021,BT01,BT02,1,07:27:54,08:26:39,00:58:45,58.75
74,264,10-03-2021,BT02,BT01,2,07:58:57,08:49:31,00:50:34,50.57
75,1358,10-03-2021,BT01,BT02,1,08:17:45,09:08:56,00:51:11,51.18
76,279,10-03-2021,BT02,BT01,2,08:58:20,09:52:02,00:53:42,53.7
77,1143,10-03-2021,BT02,BT01,2,09:12:47,10:08:55,00:56:08,56.13
78,123,10-03-2021,BT02,BT01,2,09:30:12,10:33:13,01:03:01,63.02
79,1358,10-03-2021,BT02,BT01,2,10:00:54,10:54:01,00:53:07,53.12
80,264,10-03-2021,BT01,BT02,1,10:07:17,11:07:00,00:59:43,59.72
81,264,10-03-2021,BT02,BT01,2,11:27:28,12:20:22,00:52:54,52.9
82,279,10-03-2021,BT01,BT02,1,11:31:20,12:25:23,00:54:03,54.05
83,1143,10-03-2021,BT01,BT02,1,11:52:04,12:47:58,00:55:54,55.9
84,123,10-03-2021,BT01,BT02,1,12:12:54,13:07:16,00:54:22,54.37
85,279,10-03-2021,BT02,BT01,2,12:48:10,13:38:35,00:50:25,50.42
86,1358,10-03-2021,BT01,BT02,1,12:52:26,13:40:38,00:48:12,48.2
87,1143,10-03-2021,BT02,BT01,2,13:16:12,14:18:56,01:02:44,62.73
88,123,10-03-2021,BT02,BT01,2,13:45:08,14:36:47,00:51:39,51.65
89,264,10-03-2021,BT01,BT02,1,14:36:01,15:20:10,00:44:09,44.15
90,1358,10-03-2021,BT02,BT01,2,14:36:55,15:22:17,00:45:22,45.37
91,279,10-03-2021,BT01,BT02,1,16:38:59,17:31:22,00:52:23,52.38
92,1143,10-03-2021,BT01,BT02,1,17:47:45,18:29:32,00:41:47,41.78
93,123,10-03-2021,BT01,BT02,1,18:24:14,19:02:34,00:38:20,38.33
94,1358,10-03-2021,BT01,BT02,1,19:44:43,20:14:04,00:29:21,29.35
95,274,10-04-2021,BT02,BT01,2,06:20:58,07:05:34,00:44:36,44.6
96,1143,10-04-2021,BT02,BT01,2,06:40:35,07:24:40,00:44:05,44.08
97,279,10-04-2021,BT02,BT01,2,06:50:37,07:37:21,00:46:44,46.73
98,262,10-04-2021,BT01,BT02,1,06:51:19,07:40:02,00:48:43,48.72
99,274,10-04-2021,BT01,BT02,1,07:40:40,08:37:19,00:56:39,56.65
100,1143,10-04-2021,BT01,BT02,1,08:01:54,08:53:22,00:51:28,51.47
101,279,10-04-2021,BT01,BT02,1,08:12:35,09:07:05,00:54:30,54.5
102,1358,10-04-2021,BT02,BT01,2,08:18:57,09:06:52,00:47:55,47.92
103,1377,10-04-2021,BT02,BT01,2,08:50:51,09:39:34,00:48:43,48.72
104,1358,10-04-2021,BT01,BT02,1,09:41:20,10:30:50,00:49:30,49.5
105,123,10-04-2021,BT02,BT01,2,09:50:48,10:47:02,00:56:14,56.23
106,1377,10-04-2021,BT01,BT02,1,10:12:01,11:05:32,00:53:31,53.52
107,262,10-04-2021,BT02,BT01,2,10:30:32,11:25:17,00:54:45,54.75
108,123,10-04-2021,BT01,BT02,1,11:00:49,11:50:47,00:49:58,49.97
109,274,10-04-2021,BT02,BT01,2,11:20:33,12:16:29,00:55:56,55.93
110,1143,10-04-2021,BT02,BT01,2,11:40:52,12:33:22,00:52:30,52.5
111,262,10-04-2021,BT01,BT02,1,11:41:51,12:36:31,00:54:40,54.67
112,279,10-04-2021,BT02,BT01,2,11:51:40,12:50:11,00:58:31,58.52
113,274,10-04-2021,BT01,BT02,1,12:36:24,13:28:21,00:51:57,51.95
114,1143,10-04-2021,BT01,BT02,1,13:02:27,13:55:56,00:53:29,53.48
115,279,10-04-2021,BT01,BT02,1,13:13:18,14:10:10,00:56:52,56.87
116,1358,10-04-2021,BT02,BT01,2,13:19:15,14:08:14,00:48:59,48.98
117,1377,10-04-2021,BT02,BT01,2,13:50:38,14:48:05,00:57:27,57.45
118,123,10-04-2021,BT02,BT01,2,14:40:29,15:42:42,01:02:13,62.22
119,1358,10-04-2021,BT01,BT02,1,14:41:46,15:34:57,00:53:11,53.18
120,262,10-04-2021,BT02,BT01,2,15:19:21,16:15:48,00:56:27,56.45
121,1377,10-04-2021,BT01,BT02,1,15:22:05,16:19:36,00:57:31,57.52
122,274,10-04-2021,BT02,BT01,2,16:10:55,17:03:40,00:52:45,52.75
123,123,10-04-2021,BT01,BT02,1,16:11:55,17:10:47,00:58:52,58.87
124,1143,10-04-2021,BT02,BT01,2,16:22:01,17:17:00,00:54:59,54.98
125,279,10-04-2021,BT02,BT01,2,16:31:12,17:24:00,00:52:48,52.8
126,262,10-04-2021,BT01,BT02,1,16:43:08,17:39:50,00:56:42,56.7
127,274,10-04-2021,BT01,BT02,1,17:31:27,18:21:14,00:49:47,49.78
128,1143,10-04-2021,BT01,BT02,1,17:46:06,18:38:23,00:52:17,52.28
129,1377,10-04-2021,BT02,BT01,2,17:48:46,18:39:39,00:50:53,50.88
130,279,10-04-2021,BT01,BT02,1,18:01:54,18:50:38,00:48:44,48.73
131,262,10-04-2021,BT02,BT01,2,18:18:44,19:10:40,00:51:56,51.93
132,1143,10-05-2021,BT02,BT01,2,05:51:52,06:41:02,00:49:10,49.17
133,513,10-05-2021,BT02,BT01,2,06:10:43,06:59:50,00:49:07,49.12
134,274,10-05-2021,BT02,BT01,2,06:50:25,07:40:11,00:49:46,49.77
135,1408,10-05-2021,BT01,BT02,1,07:01:21,07:50:26,00:49:05,49.08
136,1143,10-05-2021,BT01,BT02,1,07:18:31,08:11:47,00:53:16,53.27
137,1377,10-05-2021,BT02,BT01,2,07:30:47,08:17:54,00:47:07,47.12
138,513,10-05-2021,BT01,BT02,1,07:40:20,08:29:14,00:48:54,48.9
139,294,10-05-2021,BT02,BT01,2,07:59:02,08:44:25,00:45:23,45.38
140,274,10-05-2021,BT01,BT02,1,08:20:48,09:12:57,00:52:09,52.15
141,123,10-05-2021,BT02,BT01,2,08:29:58,09:20:54,00:50:56,50.93
142,1377,10-05-2021,BT01,BT02,1,09:00:56,09:52:46,00:51:50,51.83
143,294,10-05-2021,BT01,BT02,1,09:30:05,10:24:11,00:54:06,54.1
144,1408,10-05-2021,BT02,BT01,2,09:41:14,10:35:39,00:54:25,54.42
145,1143,10-05-2021,BT02,BT01,2,10:01:06,10:50:26,00:49:20,49.33
146,274,10-05-2021,BT02,BT01,2,10:40:28,11:35:37,00:55:09,55.15
147,1408,10-05-2021,BT01,BT02,1,11:11:31,12:04:37,00:53:06,53.1
148,1377,10-05-2021,BT02,BT01,2,11:18:14,12:14:00,00:55:46,55.77
149,1143,10-05-2021,BT01,BT02,1,11:31:23,12:22:48,00:51:25,51.42
150,294,10-05-2021,BT02,BT01,2,11:41:48,12:32:59,00:51:11,51.18
151,274,10-05-2021,BT01,BT02,1,12:11:17,13:05:17,00:54:00,54
152,1377,10-05-2021,BT01,BT02,1,12:51:56,13:45:36,00:53:40,53.67
153,294,10-05-2021,BT01,BT02,1,13:10:27,14:05:42,00:55:15,55.25
154,1408,10-05-2021,BT02,BT01,2,13:10:45,14:03:31,00:52:46,52.77
155,123,10-05-2021,BT02,BT01,2,13:21:02,14:19:16,00:58:14,58.23
156,1143,10-05-2021,BT02,BT01,2,13:41:25,14:35:08,00:53:43,53.72
157,274,10-05-2021,BT02,BT01,2,14:19:38,15:10:02,00:50:24,50.4
158,1408,10-05-2021,BT01,BT02,1,14:41:34,15:48:06,01:06:32,66.53
159,1377,10-05-2021,BT02,BT01,2,15:00:48,15:52:37,00:51:49,51.82
160,123,10-05-2021,BT01,BT02,1,15:03:56,15:54:57,00:51:01,51.02
161,294,10-05-2021,BT02,BT01,2,15:12:25,16:06:58,00:54:33,54.55
162,1143,10-05-2021,BT01,BT02,1,15:42:09,16:41:11,00:59:02,59.03
163,1408,10-05-2021,BT02,BT01,2,16:40:01,17:36:04,00:56:03,56.05
164,274,10-05-2021,BT01,BT02,1,16:56:26,17:53:03,00:56:37,56.62
165,1377,10-05-2021,BT01,BT02,1,17:48:00,18:36:36,00:48:36,48.6
166,294,10-05-2021,BT01,BT02,1,17:55:44,18:44:43,00:48:59,48.98
167,1408,10-05-2021,BT01,BT02,1,19:50:38,20:27:01,00:36:23,36.38
168,513,10-06-2021,BT02,BT01,2,06:00:14,06:44:22,00:44:08,44.13
169,1408,10-06-2021,BT01,BT02,1,06:50:29,07:41:46,00:51:17,51.28
170,1377,10-06-2021,BT02,BT01,2,07:08:38,07:52:46,00:44:08,44.13
171,264,10-06-2021,BT02,BT01,2,07:29:03,08:15:44,00:46:41,46.68
172,1377,10-06-2021,BT01,BT02,1,08:41:53,09:31:09,00:49:16,49.27
173,1408,10-06-2021,BT02,BT01,2,08:59:39,09:59:10,00:59:31,59.52
174,264,10-06-2021,BT01,BT02,1,09:02:10,09:58:20,00:56:10,56.17
175,1408,10-06-2021,BT01,BT02,1,10:31:16,11:26:37,00:55:21,55.35
176,1377,10-06-2021,BT02,BT01,2,10:51:14,11:44:47,00:53:33,53.55
177,264,10-06-2021,BT02,BT01,2,11:00:59,11:49:20,00:48:21,48.35
178,1377,10-06-2021,BT01,BT02,1,12:20:34,13:14:38,00:54:04,54.07
179,1408,10-06-2021,BT02,BT01,2,12:21:08,13:17:38,00:56:30,56.5
180,264,10-06-2021,BT01,BT02,1,12:31:50,13:22:31,00:50:41,50.68
181,1408,10-06-2021,BT01,BT02,1,13:51:02,14:46:22,00:55:20,55.33
182,1377,10-06-2021,BT02,BT01,2,14:20:31,15:11:58,00:51:27,51.45
183,264,10-06-2021,BT02,BT01,2,14:29:19,15:22:37,00:53:18,53.3
184,1408,10-06-2021,BT02,BT01,2,15:50:38,16:47:11,00:56:33,56.55
185,1377,10-06-2021,BT01,BT02,1,15:50:47,16:45:23,00:54:36,54.6
186,264,10-06-2021,BT01,BT02,1,16:01:24,16:50:53,00:49:29,49.48
187,1377,10-06-2021,BT02,BT01,2,17:11:03,18:05:51,00:54:48,54.8
188,1408,10-06-2021,BT01,BT02,1,17:29:52,18:17:32,00:47:40,47.67
189,279,10-07-2021,BT02,BT01,2,06:11:51,06:55:36,00:43:45,43.75
190,274,10-07-2021,BT02,BT01,2,06:38:45,07:21:11,00:42:26,42.43
191,1408,10-07-2021,BT01,BT02,1,06:50:35,07:42:36,00:52:01,52.02
192,1377,10-07-2021,BT02,BT01,2,07:09:31,07:53:41,00:44:10,44.17
193,262,10-07-2021,BT01,BT02,1,07:11:23,07:54:22,00:42:59,42.98
194,264,10-07-2021,BT02,BT01,2,07:50:02,08:41:51,00:51:49,51.82
195,279,10-07-2021,BT01,BT02,1,08:01:21,08:59:16,00:57:55,57.92
196,274,10-07-2021,BT01,BT02,1,08:20:18,09:14:20,00:54:02,54.03
197,1377,10-07-2021,BT01,BT02,1,08:50:33,09:45:45,00:55:12,55.2
198,264,10-07-2021,BT01,BT02,1,09:30:19,10:24:18,00:53:59,53.98
199,262,10-07-2021,BT02,BT01,2,09:30:34,10:22:47,00:52:13,52.22
200,1408,10-07-2021,BT02,BT01,2,09:40:30,10:32:29,00:51:59,51.98
201,123,10-07-2021,BT02,BT01,2,10:00:41,10:50:21,00:49:40,49.67
202,279,10-07-2021,BT02,BT01,2,10:38:45,11:42:07,01:03:22,63.37
203,274,10-07-2021,BT02,BT01,2,10:48:33,11:46:49,00:58:16,58.27
204,262,10-07-2021,BT01,BT02,1,11:12:07,12:05:24,00:53:17,53.28
205,1377,10-07-2021,BT02,BT01,2,11:21:19,12:21:47,01:00:28,60.47
206,1408,10-07-2021,BT01,BT02,1,11:21:50,12:18:23,00:56:33,56.55
207,123,10-07-2021,BT01,BT02,1,11:38:36,12:34:02,00:55:26,55.43
208,264,10-07-2021,BT02,BT01,2,12:00:30,13:00:11,00:59:41,59.68
209,279,10-07-2021,BT01,BT02,1,12:21:44,13:11:04,00:49:20,49.33
210,274,10-07-2021,BT01,BT02,1,12:30:32,13:20:08,00:49:36,49.6
211,1377,10-07-2021,BT01,BT02,1,13:01:41,13:56:23,00:54:42,54.7
212,262,10-07-2021,BT02,BT01,2,13:40:54,14:34:42,00:53:48,53.8
213,264,10-07-2021,BT01,BT02,1,13:41:12,14:31:35,00:50:23,50.38
214,1408,10-07-2021,BT02,BT01,2,13:50:33,14:49:54,00:59:21,59.35
215,123,10-07-2021,BT02,BT01,2,14:13:21,15:02:50,00:49:29,49.48
216,279,10-07-2021,BT02,BT01,2,14:51:03,15:44:00,00:52:57,52.95
217,274,10-07-2021,BT02,BT01,2,15:09:43,16:01:08,00:51:25,51.42
218,262,10-07-2021,BT01,BT02,1,15:21:41,16:20:56,00:59:15,59.25
219,1408,10-07-2021,BT01,BT02,1,15:30:32,16:25:46,00:55:14,55.23
220,1377,10-07-2021,BT02,BT01,2,15:40:53,16:35:59,00:55:06,55.1
221,123,10-07-2021,BT01,BT02,1,15:52:08,16:45:03,00:52:55,52.92
222,279,10-07-2021,BT01,BT02,1,16:38:36,17:34:44,00:56:08,56.13
223,274,10-07-2021,BT01,BT02,1,17:00:20,17:57:18,00:56:58,56.97
224,1377,10-07-2021,BT01,BT02,1,17:31:20,18:15:00,00:43:40,43.67
225,262,10-07-2021,BT02,BT01,2,18:00:54,18:49:19,00:48:25,48.42
226,279,10-08-2021,BT02,BT01,2,06:01:23,06:45:12,00:43:49,43.82
227,274,10-08-2021,BT02,BT01,2,06:11:03,06:53:53,00:42:50,42.83
228,1408,10-08-2021,BT01,BT02,1,06:26:37,07:21:05,00:54:28,54.47
229,262,10-08-2021,BT01,BT02,1,06:51:10,07:38:44,00:47:34,47.57
230,279,10-08-2021,BT01,BT02,1,07:42:20,08:34:15,00:51:55,51.92
231,274,10-08-2021,BT01,BT02,1,07:50:30,08:47:41,00:57:11,57.18
232,123,10-08-2021,BT02,BT01,2,08:11:09,08:57:42,00:46:33,46.55
233,1408,10-08-2021,BT02,BT01,2,08:58:50,09:54:45,00:55:55,55.92
234,262,10-08-2021,BT02,BT01,2,09:20:43,10:14:25,00:53:42,53.7
235,123,10-08-2021,BT01,BT02,1,09:52:09,10:47:13,00:55:04,55.07
236,279,10-08-2021,BT02,BT01,2,10:11:16,11:06:13,00:54:57,54.95
237,274,10-08-2021,BT02,BT01,2,10:19:46,11:15:57,00:56:11,56.18
238,1408,10-08-2021,BT01,BT02,1,10:40:30,11:39:56,00:59:26,59.43
239,262,10-08-2021,BT01,BT02,1,11:00:31,11:58:02,00:57:31,57.52
240,279,10-08-2021,BT01,BT02,1,11:50:38,12:44:59,00:54:21,54.35
241,123,10-08-2021,BT02,BT01,2,12:01:10,12:50:45,00:49:35,49.58
242,274,10-08-2021,BT01,BT02,1,12:01:27,13:00:02,00:58:35,58.58
243,1408,10-08-2021,BT02,BT01,2,12:50:40,13:40:38,00:49:58,49.97
244,262,10-08-2021,BT02,BT01,2,13:10:20,14:05:46,00:55:26,55.43
245,123,10-08-2021,BT01,BT02,1,13:41:09,14:36:30,00:55:21,55.35
246,279,10-08-2021,BT02,BT01,2,13:50:08,14:49:09,00:59:01,59.02
247,274,10-08-2021,BT02,BT01,2,13:59:48,14:53:05,00:53:17,53.28
248,1408,10-08-2021,BT01,BT02,1,14:31:26,15:32:34,01:01:08,61.13
249,262,10-08-2021,BT01,BT02,1,14:51:26,15:50:39,00:59:13,59.22
250,279,10-08-2021,BT01,BT02,1,15:31:04,16:28:01,00:56:57,56.95
251,274,10-08-2021,BT01,BT02,1,15:41:26,16:36:18,00:54:52,54.87
252,123,10-08-2021,BT02,BT01,2,15:50:18,16:47:11,00:56:53,56.88
253,1408,10-08-2021,BT02,BT01,2,16:20:32,17:16:50,00:56:18,56.3
254,262,10-08-2021,BT02,BT01,2,16:49:31,17:53:38,01:04:07,64.12
255,279,10-08-2021,BT02,BT01,2,17:30:42,18:36:24,01:05:42,65.7
256,123,10-08-2021,BT01,BT02,1,17:47:32,18:36:44,00:49:12,49.2
257,274,10-08-2021,BT02,BT01,2,17:50:54,18:41:00,00:50:06,50.1
258,1408,10-08-2021,BT01,BT02,1,18:13:15,19:00:15,00:47:00,47
259,262,10-08-2021,BT01,BT02,1,18:52:20,19:34:17,00:41:57,41.95
260,123,10-08-2021,BT02,BT01,2,18:55:27,19:38:55,00:43:28,43.47
261,279,10-08-2021,BT01,BT02,1,19:22:31,20:10:02,00:47:31,47.52
262,274,10-08-2021,BT01,BT02,1,19:33:16,20:11:18,00:38:02,38.03
263,123,10-08-2021,BT01,BT02,1,20:10:21,20:47:08,00:36:47,36.78
264,274,10-09-2021,BT02,BT01,2,06:09:04,06:51:26,00:42:22,42.37
265,1377,10-09-2021,BT02,BT01,2,06:40:57,07:25:01,00:44:04,44.07
266,262,10-09-2021,BT01,BT02,1,06:51:27,07:37:31,00:46:04,46.07
267,1358,10-09-2021,BT02,BT01,2,06:51:35,07:34:04,00:42:29,42.48
268,264,10-09-2021,BT02,BT01,2,07:00:33,07:45:18,00:44:45,44.75
269,274,10-09-2021,BT01,BT02,1,07:20:13,08:10:17,00:50:04,50.07
270,1377,10-09-2021,BT01,BT02,1,07:41:01,08:30:19,00:49:18,49.3
271,1358,10-09-2021,BT01,BT02,1,07:51:13,08:42:11,00:50:58,50.97
272,123,10-09-2021,BT02,BT01,2,07:57:45,08:45:32,00:47:47,47.78
273,264,10-09-2021,BT01,BT02,1,08:02:06,08:56:35,00:54:29,54.48
274,513,10-09-2021,BT02,BT01,2,08:40:25,09:33:00,00:52:35,52.58
275,279,10-09-2021,BT02,BT01,2,08:51:14,09:45:59,00:54:45,54.75
276,123,10-09-2021,BT01,BT02,1,09:02:53,09:56:45,00:53:52,53.87
277,262,10-09-2021,BT02,BT01,2,09:30:02,10:20:26,00:50:24,50.4
278,274,10-09-2021,BT02,BT01,2,10:01:04,10:52:11,00:51:07,51.12
279,279,10-09-2021,BT01,BT02,1,10:11:35,11:09:17,00:57:42,57.7
280,1377,10-09-2021,BT02,BT01,2,10:21:23,11:21:10,00:59:47,59.78
281,1358,10-09-2021,BT02,BT01,2,10:31:15,11:25:10,00:53:55,53.92
282,262,10-09-2021,BT01,BT02,1,10:51:35,11:48:37,00:57:02,57.03
283,123,10-09-2021,BT02,BT01,2,11:00:56,12:01:37,01:00:41,60.68
284,274,10-09-2021,BT01,BT02,1,11:20:38,12:19:00,00:58:22,58.37
285,1377,10-09-2021,BT01,BT02,1,11:41:24,12:30:32,00:49:08,49.13
286,279,10-09-2021,BT02,BT01,2,11:51:13,12:48:16,00:57:03,57.05
287,1358,10-09-2021,BT01,BT02,1,11:52:00,12:48:00,00:56:00,56
288,123,10-09-2021,BT01,BT02,1,12:19:41,13:12:30,00:52:49,52.82
289,262,10-09-2021,BT02,BT01,2,12:31:11,13:28:53,00:57:42,57.7
290,274,10-09-2021,BT02,BT01,2,13:09:38,14:07:08,00:57:30,57.5
291,279,10-09-2021,BT01,BT02,1,13:11:33,13:53:37,00:42:04,42.07
292,1377,10-09-2021,BT02,BT01,2,13:29:39,14:23:03,00:53:24,53.4
293,1358,10-09-2021,BT02,BT01,2,13:49:59,14:40:21,00:50:22,50.37
294,262,10-09-2021,BT01,BT02,1,13:51:27,14:46:24,00:54:57,54.95
295,123,10-09-2021,BT02,BT01,2,14:12:32,15:02:00,00:49:28,49.47
296,274,10-09-2021,BT01,BT02,1,14:29:11,15:26:03,00:56:52,56.87
297,1377,10-09-2021,BT01,BT02,1,14:51:13,15:53:23,01:02:10,62.17
298,279,10-09-2021,BT02,BT01,2,15:01:32,16:00:16,00:58:44,58.73
299,1358,10-09-2021,BT01,BT02,1,15:26:23,16:17:18,00:50:55,50.92
300,262,10-09-2021,BT02,BT01,2,15:40:46,16:38:39,00:57:53,57.88
301,123,10-09-2021,BT01,BT02,1,16:13:55,17:02:51,00:48:56,48.93
302,274,10-09-2021,BT02,BT01,2,16:27:23,17:28:28,01:01:05,61.08
303,1377,10-09-2021,BT02,BT01,2,16:43:52,17:43:42,00:59:50,59.83
304,279,10-09-2021,BT01,BT02,1,17:52:37,18:41:03,00:48:26,48.43
305,262,10-09-2021,BT01,BT02,1,18:35:58,19:17:54,00:41:56,41.93
306,274,10-09-2021,BT01,BT02,1,20:27:25,21:02:37,00:35:12,35.2
307,274,10-10-2021,BT02,BT01,2,06:00:07,06:38:33,00:38:26,38.43
308,1377,10-10-2021,BT02,BT01,2,06:21:30,07:02:58,00:41:28,41.47
309,279,10-10-2021,BT02,BT01,2,06:38:54,07:26:33,00:47:39,47.65
310,274,10-10-2021,BT01,BT02,1,07:10:04,08:05:40,00:55:36,55.6
311,1377,10-10-2021,BT01,BT02,1,07:32:22,08:34:35,01:02:13,62.22
312,279,10-10-2021,BT01,BT02,1,07:52:14,08:43:30,00:51:16,51.27
313,264,10-10-2021,BT02,BT01,2,08:20:06,09:16:23,00:56:17,56.28
314,274,10-10-2021,BT02,BT01,2,09:10:41,10:04:48,00:54:07,54.12
315,1377,10-10-2021,BT02,BT01,2,09:28:52,10:26:41,00:57:49,57.82
316,279,10-10-2021,BT02,BT01,2,09:39:51,10:32:14,00:52:23,52.38
317,264,10-10-2021,BT01,BT02,1,10:01:29,10:58:45,00:57:16,57.27
318,123,10-10-2021,BT02,BT01,2,10:44:40,11:39:08,00:54:28,54.47
319,264,10-10-2021,BT02,BT01,2,11:17:36,12:16:43,00:59:07,59.12
320,274,10-10-2021,BT01,BT02,1,11:40:39,12:37:00,00:56:21,56.35
